DATE_READING,YEAR,MONTH,DAY,AREA_NUMBER,ELNINO,LANINA,TOTAL_CAPTURE
20140515,2014,5,15,3,0,0,0
20090216,2009,2,16,4,1,0,0
20110821,2011,8,21,3,0,0,0
20200430,2020,4,30,2,0,0,0
20200402,2020,4,2,1,0,0,0
20080101,2008,1,1,3,0,1,0
20170421,2017,4,21,4,0,0,0
20200127,2020,1,27,1,0,0,0
20111118,2011,11,18,4,0,1,1
20120301,2012,3,1,4,0,0,0
20130322,2013,3,22,3,0,0,0
20161222,2016,12,22,4,0,0,0
20151021,2015,10,21,1,1,0,0
20080514,2008,5,14,2,0,0,0
20060101,2006,1,1,3,0,0,0
20081026,2008,10,26,4,0,0,0
20170105,2017,1,5,3,0,0,0
20180714,2018,7,14,2,0,0,0
20100605,2010,6,5,4,0,0,0
20180804,2018,8,4,4,0,0,0
20171031,2017,10,31,2,0,0,0
20091230,2009,12,30,1,1,0,1
20130214,2013,2,14,2,0,0,0
20080612,2008,6,12,1,0,0,0
20191130,2019,11,30,3,0,0,0
20200805,2020,8,5,2,0,0,0
